English lemma,Swedish lemma,POS,status
near field communication,närfältskommunikation,NP,automatically verified
defect taxonomy,defekttaxonomi,NP,automatically verified
defect classification,defektklassifikation,NP,automatically verified
software defect,mjukvarufel,NP,automatically verified
manual defect classification,manuell defektklassificering,NP,automatically verified
social media strategy,social mediestrategier,NP,automatically verified
start-ups,nystartat företag,NP,automatically verified
course module,kursmodul,NP,automatically verified
inter-process communication,interprocesskommunikation,NP,automatically verified
data interchange format,dataöverföringsformat,NP,automatically verified
performance evaluation,utvärdering av prestanda,NP,no processing rule for swedish POS sequence
startup,uppstart,N,automatically verified
authentication,autentisering,N,automatically verified
economic sustainability,ekonomisk hållbarhet,NP,automatically verified
stretchable electronics,sträckbar elektronik,NP,could not lemmatize swedish adjective
printed electronics,tryckt elektronik,NP,automatically verified
low frequency stability,lågfrekvent stabilitet,NP,automatically verified
single phase converter,enfasig likriktare,NP,could not lemmatize swedish adjective
electric rail way system,elektriskt järnvägssystem,NP,automatically verified
spiking neural network,neuromorfiska pulserande neuronnät,NP,no processing rule for swedish POS sequence
computer vision system,datorseende system,NP,suspected särskriving
lane recognition,läser av körbanans,NP,no processing rule for swedish POS sequence
line recognition,läser av linjer,NP,no processing rule for swedish POS sequence
third generation neural network,tredje generation neuronnät,NP,suspected särskriving
algorithm evaluation,utvärdering av algoritmen,NP,no processing rule for swedish POS sequence
pi control,pi regulator,NP,no processing rule for swedish POS sequence
bang-bang control,bang-bang regulator,NP,suspected särskriving
suspension,hjulupphängningar,N,automatically verified
pneumatic actuator,pneumatiskt ställdon,NP,automatically verified
functional split,funktionell uppdelning,NP,automatically verified
simulation,simulering,N,automatically verified
optimization,optimering,N,automatically verified
medical diagnostics,medicinsk diagnostisering,NP,automatically verified
graphical user interface,grafiskt användargränssnitt,NP,automatically verified
frequency analysis,frekvensanalys,NP,automatically verified
software reliability growth prediction,förutsägelse av tillväxten av programvarans tillförlitlighet,NP,suspected särskriving
linear regression,linjär regression,NP,automatically verified
imperialist competitive algorithm,imperialistisk konkurrensalgoritm,NP,automatically verified
long short-term memory network,nätverk med långt korttidsminne,NP,no processing rule for swedish POS sequence
hall,hall,N,automatically verified
speed sensor,varvtalsgivare,NP,automatically verified
rig,rigg,N,automatically verified
library,bibliotek,N,automatically verified
design principle,designprincip,NP,automatically verified
user-centred design,användarcentrerad design,NP,could not lemmatize swedish adjective
graphical user interface,grafiskt användargränssnitt,NP,automatically verified
software agent,mjukvara agenter,NP,suspected särskriving
swedish table,svensk tabell,NP,automatically verified
indirect rotor field oriented control,flerfasiga elektriska maskiner,NP,no processing rule for swedish POS sequence
multiphase electrical machine,indirekt rotorfälts orienterad reglering,NP,no processing rule for swedish POS sequence
speed control,maskinomlindning,NP,automatically verified
electrical machine,elektrisk maskin,NP,automatically verified
iron loss,järnförlust,NP,automatically verified
laser cutting,laserskärning,NP,automatically verified
loss model,förlustmodell,NP,automatically verified
manufacturing defect,tillverkningsfel,NP,automatically verified
single sheet tester,enplåtsprovare,NP,automatically verified
power system simulation,kraftsystemsimulering,NP,automatically verified
deterministic transforms,deterministisk transformation,NP,automatically verified
weight matrix,viktmatris,NP,automatically verified
computational cost,beräkningskostnad,NP,automatically verified
infrastructure as code,infrastruktur som kod,NP,no processing rule for swedish POS sequence
mapping,kartläggning,N,automatically verified
retina,näthinna,N,automatically verified
eye,öga,N,automatically verified
eye,öga,N,automatically verified
application,applikation,N,automatically verified
wellbeing,välbefinnande,N,automatically verified
digital wellbeing,digitalt välbefinnande,NP,automatically verified
paper insulation,pappersisolering,NP,automatically verified
frequency domain spectroscopy,frekvensdomänsspektroskopi,NP,automatically verified
dielectric response,dielektrisk respons,NP,could not lemmatize swedish adjective
dielectric frequency response,dielektrisk frekvensrespons,NP,could not lemmatize swedish adjective
finite element method,finita element metoden,NP,suspected särskriving
high voltage rotating machine,högspänningsmaskin,NP,automatically verified
stator insulation,statorisolering,NP,automatically verified
packet scheduling,paketschemaläggning,NP,automatically verified
parallel processing,parallell bearbetning,NP,automatically verified
network processor,nätverksprocessor,NP,automatically verified
diffusion,diffusion,N,automatically verified
conditional generation,villkorad generation,NP,automatically verified
constrained device,begränsad enhet,NP,automatically verified
digital certificate,digitalt certifikat,NP,automatically verified
digital transformation,digital transformation,NP,automatically verified
digital maturity assessment,digitalt mognadstest,NP,automatically verified
public authority,myndighet,NP,automatically verified
approximate entropy,approximativ entropi,NP,could not lemmatize swedish adjective
digital twin,digital tvilling,NP,automatically verified
sensor,sensor,N,automatically verified
knowledge graph,kunskapsgraf,NP,automatically verified
similarity metric,likhetmetrik,NP,automatically verified
semantic data integration,integrering av semantiska data,NP,no processing rule for swedish POS sequence
intrusion detection system,intrångsdetekteringssystem,NP,automatically verified
industrial control system,industriellt styrsystem,NP,automatically verified
stacked ensemble model,staplad ensemblemodell,NP,automatically verified
mobile application,datorseende,NP,automatically verified
human computer interaction,människa-datorinteraktion,NP,automatically verified
direct writing,3d-utskrift,NP,automatically verified
energy harvester,energiskördare,NP,automatically verified
network analysis,nätverksanalys,NP,automatically verified
feedback,feedback,N,automatically verified
programming,programmering,N,automatically verified
plagiarism,plagiat,N,automatically verified
autonomous team,autonomt team,NP,automatically verified
development practice,motstånd,NP,automatically verified
inertia,självutvärdering,N,automatically verified
dense passage retrieval,tät textavsnittssökning,NP,automatically verified
multilingual transformer,flerspråkig transformatorer,NP,automatically verified
document retrieval,dokumentsökning,NP,automatically verified
open domain question answering,domänlöst frågebesvarande,NP,automatically verified
decentralization,decentralisering,N,automatically verified
raft,raft,N,automatically verified
replicated state machine,replikerad tillståndsmaskin,NP,automatically verified
